,neighborhood,mean_x,borough,latitude,longitude
0,Allerton,1625.0,Bronx,40.86578787802982,-73.85931863221647
1,Arden Heights,2099.2746732612713,Staten Island,40.54928582278321,-74.18588674583893
2,Astoria,1883.3333333333333,Queens,40.76850859335492,-73.91565374304234
3,Auburndale,1916.6666666666667,Queens,40.76172954903262,-73.79176243728061
4,Bath Beach,2133.3333333333335,Brooklyn,40.59951870282238,-73.99875221443519
5,Battery Park City,3121.3333333333335,Manhattan,40.71193198394565,-74.01686930508617
6,Bay Ridge,1965.6666666666667,Brooklyn,40.625801065010656,-74.03062069353813
7,Bayside,2000.0,Queens,40.76604063281064,-73.7742736306867
8,Bedford Park,1679.3333333333333,Bronx,40.870185164975325,-73.8855121841913
9,Bellerose,1989.7956204379561,Queens,40.72857318176675,-73.72012814826903
10,Belmont,1841.7956204379561,Bronx,40.85727710073895,-73.88845196134804
11,Bensonhurst,2498.3333333333335,Brooklyn,40.61100890202044,-73.99517998380729
12,Bergen Beach,1806.4622871046229,Brooklyn,40.61514955045308,-73.89855633630317
13,Blissville,1873.1289537712894,Queens,40.73725071694497,-73.93244235260178
14,Boerum Hill,2498.6666666666665,Brooklyn,40.685682912091444,-73.98374824115798
15,Borough Park,1724.0,Brooklyn,40.633130512758015,-73.99049823044811
16,Briarwood,1729.3333333333333,Queens,40.71093547252271,-73.81174822458634
17,Brighton Beach,1883.3333333333333,Brooklyn,40.57682506566604,-73.96509448785336
18,Brooklyn Heights,2633.3333333333335,Brooklyn,40.695863722724084,-73.99378225496424
19,Brookville,2099.2746732612713,Queens,40.66000322733613,-73.75175310731153
20,Brownsville,1811.0,Brooklyn,40.66394994339755,-73.91023536176607
21,Bulls Head,1531.4622871046229,Staten Island,40.6095918004203,-74.15940948657122
22,Bushwick,1993.6666666666667,Brooklyn,40.69811611017901,-73.92525797487045
23,Canarsie,1816.6666666666667,Brooklyn,40.63556432797428,-73.90209269778966
24,Carnegie Hill,3706.6666666666665,Manhattan,40.7826825671257,-73.95325646837112
25,Carroll Gardens,2525.0,Brooklyn,40.680540231076485,-73.99465372828006
26,Castle Hill,2115.941339927938,Bronx,40.819014376988314,-73.84802729582735
27,Castleton Corners,1815.941339927938,Staten Island,40.61333593766742,-74.11918058534842
28,Central Harlem,2126.6666666666665,Manhattan,40.81597606742414,-73.94321112603905
29,Chelsea,3469.0,Manhattan,40.744034706747975,-74.00311633472813
30,Chelsea,3469.0,Staten Island,40.59472602746295,-74.1895604551969
31,Chinatown,2683.3333333333335,Manhattan,40.71561842231432,-73.99427936255978
32,City Island,1989.7956204379561,Bronx,40.84724670491813,-73.78648845267413
33,Civic Center,2992.6666666666665,Manhattan,40.71522892046282,-74.00541529873355
34,Clason Point,1833.3333333333333,Bronx,40.80655112003589,-73.85414416189266
35,Clinton Hill,2383.3333333333335,Brooklyn,40.693229421881504,-73.96784306216367
36,Cobble Hill,2300.0,Brooklyn,40.687919722485574,-73.99856139218463
37,College Point,1866.4622871046229,Queens,40.784902749260205,-73.84304528896125
38,Concord,1739.7956204379561,Staten Island,40.6044731896879,-74.08402364740358
39,Concourse,1702.3333333333333,Bronx,40.83428380733851,-73.91558941773444
40,Concourse Village,1881.6666666666667,Bronx,40.824780490842905,-73.91584652759009
41,Coney Island,2300.0,Brooklyn,40.57429256471601,-73.98868295821637
