,neighborhood,borough,nb latitude,nb longitude,lyft_pickups
0,Wakefield,Bronx,40.89470517661,-73.84720052054902,2
1,Co-op City,Bronx,40.87429419303012,-73.82993910812398,16
2,Eastchester,Bronx,40.887555677350775,-73.82780644716412,9
3,Fieldston,Bronx,40.89543742690383,-73.90564259591682,4
4,Riverdale,Bronx,40.890834493891305,-73.9125854610857,22
5,Kingsbridge,Bronx,40.88168737120521,-73.90281798724604,104
6,Marble Hill,Manhattan,40.87655077879964,-73.91065965862981,40
7,Woodlawn,Bronx,40.89827261213805,-73.86731496814176,9
8,Norwood,Bronx,40.87722415599446,-73.8793907395681,65
9,Williamsbridge,Bronx,40.88103887819211,-73.85744642974207,23
10,Baychester,Bronx,40.866858107252696,-73.83579759808117,17
11,Pelham Parkway,Bronx,40.85741349808865,-73.85475564017999,23
12,City Island,Bronx,40.84724670491813,-73.78648845267413,2
13,Bedford Park,Bronx,40.870185164975325,-73.8855121841913,55
14,University Heights,Bronx,40.85572707719664,-73.9104159619131,90
15,Morris Heights,Bronx,40.84789792606271,-73.91967159119565,92
16,Fordham,Bronx,40.86099679638654,-73.89642655981623,144
17,East Tremont,Bronx,40.84269615786053,-73.88735617532338,35
18,West Farms,Bronx,40.83947505672653,-73.87774474910545,35
19,High  Bridge,Bronx,40.836623010706056,-73.9261020935813,124
20,Melrose,Bronx,40.819754370594936,-73.90942160757436,91
21,Mott Haven,Bronx,40.80623874935177,-73.91609987487575,73
22,Port Morris,Bronx,40.801663627756206,-73.91322139386135,5
23,Longwood,Bronx,40.81509904545822,-73.8957882009446,26
24,Hunts Point,Bronx,40.80972987938709,-73.88331505955291,62
25,Morrisania,Bronx,40.82359198585534,-73.90150648943059,36
26,Soundview,Bronx,40.821012197914015,-73.86574609554924,48
27,Clason Point,Bronx,40.80655112003589,-73.85414416189266,2
28,Throgs Neck,Bronx,40.81510925804005,-73.81635002158441,3
29,Country Club,Bronx,40.844245936947374,-73.8240992675385,11
30,Parkchester,Bronx,40.837937822267286,-73.85600310535783,67
31,Westchester Square,Bronx,40.8406194964327,-73.84219407604444,25
32,Van Nest,Bronx,40.84360847124718,-73.8662991807561,30
33,Morris Park,Bronx,40.847549063536334,-73.85040178030421,37
34,Belmont,Bronx,40.85727710073895,-73.88845196134804,141
35,Spuyten Duyvil,Bronx,40.88139497727086,-73.91719048210393,35
36,North Riverdale,Bronx,40.90854282950666,-73.90453054908927,6
37,Pelham Bay,Bronx,40.85064140940335,-73.8320737824047,13
38,Schuylerville,Bronx,40.82657951686922,-73.82620275994073,10
39,Edgewater Park,Bronx,40.821986118163494,-73.81388514428619,0
40,Castle Hill,Bronx,40.819014376988314,-73.84802729582735,11
41,Olinville,Bronx,40.87137078192371,-73.86332361652777,39
42,Pelham Gardens,Bronx,40.86296562477998,-73.84161194831223,15
43,Concourse,Bronx,40.83428380733851,-73.91558941773444,110
44,Unionport,Bronx,40.82977429787161,-73.85053524451935,26
45,Edenwald,Bronx,40.88456130303732,-73.84808271877168,7
46,Bay Ridge,Brooklyn,40.625801065010656,-74.03062069353813,179
47,Bensonhurst,Brooklyn,40.61100890202044,-73.99517998380729,174
48,Sunset Park,Brooklyn,40.64510294925429,-74.01031618527784,196
49,Greenpoint,Brooklyn,40.7302009848647,-73.95424093127393,1579
50,Gravesend,Brooklyn,40.59526001306593,-73.97347087708445,125
51,Brighton Beach,Brooklyn,40.57682506566604,-73.96509448785336,211
52,Sheepshead Bay,Brooklyn,40.58689012678384,-73.94318640482979,98
53,Manhattan Terrace,Brooklyn,40.61443251335098,-73.95743840559939,254
54,Flatbush,Brooklyn,40.63632589026677,-73.95840106533903,399
55,Crown Heights,Brooklyn,40.67082917695294,-73.94329119073582,841
56,East Flatbush,Brooklyn,40.64171776668961,-73.93610256185836,175
57,Kensington,Brooklyn,40.642381958003526,-73.98042110559474,368
58,Windsor Terrace,Brooklyn,40.65694583575104,-73.98007340430172,377
59,Prospect Heights,Brooklyn,40.676822262254724,-73.9648592426269,1778
60,Brownsville,Brooklyn,40.66394994339755,-73.91023536176607,209
61,Williamsburg,Brooklyn,40.70714439344251,-73.95811529220927,2056
62,Bushwick,Brooklyn,40.69811611017901,-73.92525797487045,1743
63,Bedford Stuyvesant,Brooklyn,40.687231607720456,-73.94178488690297,1352
64,Brooklyn Heights,Brooklyn,40.695863722724084,-73.99378225496424,1333
