,neighborhood,venue
0,Wakefield,Ice Cream Parlor
1,Wakefield,Drugstore
2,Wakefield,Drugstore
3,Wakefield,Deli
4,Wakefield,Bagel Shop
5,Wakefield,Ice Cream Parlor
6,Wakefield,American Restaurant
7,Wakefield,Fast Food Restaurant
8,Wakefield,Other Great Outdoors
9,Wakefield,Car Wash and Detail
10,Wakefield,American Restaurant
11,Wakefield,Laundromat
12,Wakefield,Laundry Service
13,Wakefield,Laundry Service
14,Wakefield,Dry Cleaner
15,Wakefield,Laundry Service
16,Co-op City,Baseball Field
17,Co-op City,Other Great Outdoors
18,Co-op City,Diner
19,Co-op City,Pizzeria
20,Co-op City,Accounting and Bookkeeping Service
21,Co-op City,Butcher
22,Co-op City,Chinese Restaurant
23,Co-op City,Liquor Store
24,Co-op City,Fruit and Vegetable Store
25,Co-op City,Health and Beauty Service
26,Co-op City,Fast Food Restaurant
27,Co-op City,Bagel Shop
28,Co-op City,Discount Store
29,Co-op City,Drugstore
30,Co-op City,Basketball Court
31,Co-op City,American Restaurant
32,Co-op City,Park
33,Co-op City,Latin American Restaurant
34,Co-op City,Ice Cream Parlor
35,Co-op City,Bagel Shop
36,Co-op City,Grocery Store / Supermarket
37,Co-op City,Shopping Mall
38,Co-op City,Convenience Store
39,Co-op City,Plaza
40,Co-op City,Baseball Field
41,Co-op City,Clothing Store
42,Eastchester,Diner
43,Eastchester,Bar
44,Eastchester,Lingerie Store
45,Eastchester,Bagel Shop
46,Eastchester,Automotive Repair Shop
47,Eastchester,Pizzeria
48,Eastchester,Recycling Facility
49,Eastchester,Fast Food Restaurant
50,Eastchester,Seafood Restaurant
51,Eastchester,Restaurant
52,Eastchester,Liquor Store
53,Eastchester,Chinese Restaurant
54,Eastchester,Tire Repair Shop
55,Eastchester,Deli
56,Eastchester,Laundry Service
57,Eastchester,Automotive Repair Shop
58,Eastchester,Diner
59,Eastchester,Grocery Store / Supermarket
60,Eastchester,Convenience Store
61,Eastchester,Hardware Store
62,Eastchester,Barbershop
63,Eastchester,Bakery
64,Eastchester,Fast Food Restaurant
65,Eastchester,Bowling Alley
66,Eastchester,Storage Facility
67,Eastchester,Bridge
68,Eastchester,American Restaurant
69,Eastchester,Pizzeria
70,Eastchester,Dining and Drinking
71,Eastchester,Shopping Mall
72,Eastchester,Car Parts and Accessories
73,Eastchester,Insurance Agency
74,Eastchester,Chinese Restaurant
75,Eastchester,Caribbean Restaurant
76,Eastchester,Barbershop
77,Eastchester,Cocktail Bar
78,Eastchester,Grocery Store / Supermarket
79,Eastchester,Nail Salon
80,Eastchester,Grocery Store / Supermarket
81,Eastchester,Grocery Store / Supermarket
82,Fieldston,Plaza
83,Fieldston,River
84,Fieldston,Other Great Outdoors
85,Fieldston,Playground
86,Riverdale,Plaza
87,Riverdale,Playground
88,Riverdale,Park
89,Riverdale,Medical Supply Store
90,Riverdale,Frozen Yogurt Shop
91,Riverdale,Asian Restaurant
92,Riverdale,Bank
93,Riverdale,Sushi Restaurant
94,Riverdale,Farmers' Market
95,Riverdale,Greek Restaurant
96,Riverdale,Health and Beauty Service
97,Riverdale,Park
98,Riverdale,Thai Restaurant
99,Riverdale,Baseball Field
100,Riverdale,Pizzeria
101,Riverdale,Coffee Shop
102,Riverdale,Food Truck
103,Riverdale,Bagel Shop
104,Riverdale,Mexican Restaurant
105,Riverdale,Sports Bar
106,Riverdale,Banking and Finance
107,Riverdale,Medical Supply Store
108,Riverdale,Accounting and Bookkeeping Service
109,Riverdale,Indian Restaurant
110,Riverdale,Burger Joint
111,Riverdale,Playground
112,Riverdale,Sports and Recreation
113,Riverdale,Playground
114,Riverdale,Other Great Outdoors
115,Riverdale,Dog Park
116,Riverdale,Massage Clinic
117,Riverdale,Dog Park
118,Riverdale,Drugstore
119,Riverdale,Sports and Recreation
120,Riverdale,Arts and Crafts Store
121,Riverdale,Drugstore
122,Riverdale,Gift Store
123,Kingsbridge,Gourmet Store
124,Kingsbridge,Vintage and Thrift Store
125,Kingsbridge,Mattress Store
126,Kingsbridge,Discount Store
127,Kingsbridge,Grocery Store / Supermarket
128,Kingsbridge,American Restaurant
129,Kingsbridge,Fast Food Restaurant
130,Kingsbridge,Ice Cream Parlor
131,Kingsbridge,Caribbean Restaurant
132,Kingsbridge,Print Store
133,Kingsbridge,Pizzeria
134,Kingsbridge,Pizzeria
135,Kingsbridge,Pizzeria
136,Kingsbridge,Department Store
137,Kingsbridge,Storage Facility
138,Kingsbridge,Pub
139,Kingsbridge,Asian Restaurant
140,Kingsbridge,Restaurant
141,Kingsbridge,Burger Joint
142,Kingsbridge,Latin American Restaurant
143,Kingsbridge,Arts and Entertainment
144,Kingsbridge,Farm
145,Kingsbridge,Candy Store
146,Kingsbridge,Wings Joint
147,Kingsbridge,Beer Bar
148,Kingsbridge,Pub
149,Kingsbridge,Deli
150,Kingsbridge,Mexican Restaurant
151,Kingsbridge,Hardware Store
152,Kingsbridge,Burger Joint
153,Kingsbridge,Pizzeria
154,Kingsbridge,Pizzeria
155,Kingsbridge,Automotive Repair Shop
156,Kingsbridge,Cocktail Bar
157,Kingsbridge,Café
158,Kingsbridge,Bakery
159,Kingsbridge,Bagel Shop
160,Kingsbridge,Bakery
161,Kingsbridge,Wine Bar
162,Kingsbridge,Bar
163,Kingsbridge,Bakery
164,Kingsbridge,Fast Food Restaurant
165,Kingsbridge,Flower Store
166,Kingsbridge,Grocery Store / Supermarket
167,Kingsbridge,Fast Food Restaurant
168,Kingsbridge,Pizzeria
169,Kingsbridge,Fast Food Restaurant
170,Kingsbridge,Fast Food Restaurant
171,Kingsbridge,Bank
172,Marble Hill,Pizzeria
173,Marble Hill,Drugstore
174,Marble Hill,Sandwich Restaurant
175,Marble Hill,Bagel Shop
176,Marble Hill,Video Games Store
177,Marble Hill,Deli
178,Marble Hill,Eyecare Store
179,Marble Hill,Diner
180,Marble Hill,Coffee Shop
181,Marble Hill,Ice Cream Parlor
182,Marble Hill,Pizzeria
183,Marble Hill,Diner
184,Marble Hill,Food and Beverage Service
185,Marble Hill,Children's Clothing Store
186,Marble Hill,Latin American Restaurant
187,Marble Hill,Department Store
188,Marble Hill,Latin American Restaurant
189,Marble Hill,Deli
190,Marble Hill,Coffee Shop
191,Marble Hill,Grocery Store / Supermarket
192,Marble Hill,Department Store
193,Marble Hill,Clothing Store
194,Marble Hill,Fast Food Restaurant
195,Marble Hill,Department Store
196,Marble Hill,Shopping Mall
197,Marble Hill,Candy Store
198,Marble Hill,Flower Store
199,Marble Hill,Spa
200,Marble Hill,Pizzeria
201,Marble Hill,Burger Joint
202,Marble Hill,Thai Restaurant
203,Marble Hill,Café
204,Marble Hill,Restaurant
205,Marble Hill,Spa
206,Marble Hill,Bagel Shop
207,Marble Hill,Park
208,Marble Hill,Burger Joint
209,Marble Hill,Baseball Field
210,Marble Hill,Park
211,Marble Hill,Pizzeria
212,Marble Hill,Other Great Outdoors
213,Marble Hill,Fruit and Vegetable Store
214,Marble Hill,Hair Salon
215,Marble Hill,Nail Salon
216,Woodlawn,Cocktail Bar
217,Woodlawn,Pizzeria
218,Woodlawn,Indian Restaurant
219,Woodlawn,Bar
220,Woodlawn,Deli
221,Woodlawn,Gourmet Store
222,Woodlawn,Grocery Store / Supermarket
223,Woodlawn,Beer Bar
224,Woodlawn,Pizzeria
225,Woodlawn,Food and Beverage Retail
226,Woodlawn,Deli
227,Woodlawn,Burger Joint
228,Woodlawn,Fast Food Restaurant
229,Woodlawn,Bank
230,Woodlawn,Hiking Trail
231,Woodlawn,Bagel Shop
232,Woodlawn,Bakery
233,Woodlawn,Travel Agency
234,Woodlawn,Hair Salon
235,Woodlawn,Deli
236,Woodlawn,Pizzeria
237,Woodlawn,Pub
238,Woodlawn,Pub
239,Woodlawn,American Restaurant
240,Woodlawn,Burger Joint
241,Woodlawn,Ice Cream Parlor
242,Woodlawn,Bagel Shop
243,Woodlawn,Cocktail Bar
244,Woodlawn,Deli
245,Woodlawn,Bank
246,Woodlawn,Pub
247,Woodlawn,Pizzeria
248,Woodlawn,Bar
249,Woodlawn,Pub
250,Woodlawn,Park
251,Woodlawn,Pizzeria
252,Woodlawn,Pub
253,Woodlawn,Playground
254,Woodlawn,Playground
255,Woodlawn,Laundry Service
256,Woodlawn,Deli
257,Woodlawn,Bar
258,Woodlawn,Chinese Restaurant
259,Woodlawn,Beer Store
260,Woodlawn,Butcher
261,Woodlawn,Caterer
262,Woodlawn,Pet Grooming Service
263,Woodlawn,Barbershop
264,Woodlawn,Flower Store
265,Woodlawn,Jewelry Store
266,Norwood,Monument
267,Norwood,Park
268,Norwood,Pizzeria
269,Norwood,Coffee Shop
270,Norwood,Bank
271,Norwood,Banking and Finance
272,Norwood,Park
273,Norwood,Park
274,Norwood,Pizzeria
275,Norwood,Drugstore
276,Norwood,Food Truck
277,Norwood,Plaza
278,Norwood,Dog Park
279,Norwood,Mexican Restaurant
280,Norwood,Café
281,Norwood,Tobacco Store
282,Norwood,Grocery Store / Supermarket
283,Norwood,Café
284,Norwood,Chinese Restaurant
285,Norwood,Grocery Store / Supermarket
286,Norwood,Drugstore
287,Norwood,Fast Food Restaurant
288,Norwood,Bagel Shop
289,Norwood,Bank
290,Norwood,Fast Food Restaurant
291,Norwood,Fried Chicken Joint
292,Norwood,Pizzeria
293,Norwood,Computer Repair Service
294,Norwood,Restaurant
295,Norwood,Miscellaneous Store
296,Norwood,Mobile Phone Store
297,Norwood,Elementary School
298,Norwood,Video Games Store
299,Norwood,Mobile Phone Store
300,Norwood,Health Food Store
301,Norwood,Latin American Restaurant
302,Norwood,Pizzeria
303,Norwood,Hair Salon
304,Norwood,Bank
305,Norwood,Chinese Restaurant
306,Norwood,Fast Food Restaurant
307,Norwood,Pizzeria
308,Norwood,Nail Salon
309,Norwood,Bank
310,Norwood,Latin American Restaurant
311,Norwood,Asian Restaurant
312,Norwood,Fast Food Restaurant
313,Norwood,Burger Joint
314,Norwood,Liquor Store
315,Williamsbridge,American Restaurant
316,Williamsbridge,Night Club
317,Williamsbridge,Restaurant
318,Williamsbridge,Hair Salon
319,Williamsbridge,Nail Salon
320,Williamsbridge,Restaurant
321,Williamsbridge,Telecommunication Service
322,Williamsbridge,American Restaurant
323,Williamsbridge,Caribbean Restaurant
324,Williamsbridge,Nail Salon
325,Williamsbridge,Health and Beauty Service
326,Williamsbridge,Automotive Service
327,Baychester,Italian Restaurant
328,Baychester,Bank
329,Baychester,Fast Food Restaurant
330,Baychester,Bagel Shop
331,Baychester,Fast Food Restaurant
332,Baychester,Furniture and Home Store
333,Baychester,Discount Store
334,Baychester,Storage Facility
335,Baychester,BBQ Joint
336,Baychester,American Restaurant
337,Baychester,Grocery Store / Supermarket
338,Baychester,Laundromat
339,Baychester,Pet Supplies Store
340,Baychester,Fast Food Restaurant
341,Baychester,Bagel Shop
342,Baychester,Department Store
343,Baychester,Pizzeria
344,Baychester,Convenience Store
345,Baychester,Playground
346,Baychester,Department Store
347,Baychester,Food and Beverage Retail
348,Baychester,Home Appliance Store
349,Baychester,Fast Food Restaurant
350,Baychester,Clothing Store
351,Baychester,Office Supply Store
352,Baychester,Plaza
353,Baychester,Park
354,Baychester,Deli
355,Pelham Parkway,Grocery Store / Supermarket
356,Pelham Parkway,Bagel Shop
357,Pelham Parkway,Asian Restaurant
358,Pelham Parkway,Chinese Restaurant
359,Pelham Parkway,Pizzeria
360,Pelham Parkway,Coffee Shop
361,Pelham Parkway,Italian Restaurant
362,Pelham Parkway,Pizzeria
363,Pelham Parkway,Ice Cream Parlor
364,Pelham Parkway,Bakery
365,Pelham Parkway,Hair Salon
366,Pelham Parkway,Italian Restaurant
367,Pelham Parkway,Laundry Service
368,Pelham Parkway,Chinese Restaurant
369,Pelham Parkway,Fast Food Restaurant
370,Pelham Parkway,Nail Salon
371,Pelham Parkway,Nail Salon
372,Pelham Parkway,Asian Restaurant
373,Pelham Parkway,Liquor Store
374,Pelham Parkway,Home Improvement Service
375,Pelham Parkway,Deli
376,Pelham Parkway,Drugstore
377,Pelham Parkway,Banking and Finance
378,Pelham Parkway,Nail Salon
379,Pelham Parkway,Tanning Salon
380,Pelham Parkway,Park
381,Pelham Parkway,Barbershop
382,Pelham Parkway,Deli
383,Pelham Parkway,Deli
384,Pelham Parkway,Hair Salon
385,City Island,Diner
386,City Island,Ice Cream Parlor
387,City Island,Bar
388,City Island,American Restaurant
389,City Island,Pizzeria
390,City Island,American Restaurant
391,City Island,American Restaurant
392,City Island,Tattoo Parlor
393,City Island,Museum
394,City Island,Art Gallery
395,City Island,Laundromat
396,City Island,Restaurant
397,City Island,Vintage and Thrift Store
398,City Island,Jewelry Store
399,City Island,Concert Hall
400,City Island,Bridge
401,City Island,Dive Bar
402,City Island,Bank
403,City Island,Grocery Store / Supermarket
404,City Island,Vintage and Thrift Store
405,City Island,Tobacco Store
406,City Island,Miscellaneous Store
407,City Island,American Restaurant
408,City Island,Plaza
409,City Island,Bakery
410,City Island,Park
411,City Island,Playground
412,City Island,Sushi Restaurant
413,City Island,Café
414,City Island,Playground
415,City Island,Beach
416,City Island,Beach
417,City Island,Park
418,City Island,Other Great Outdoors
419,City Island,Beach
420,City Island,Landmarks and Outdoors
421,City Island,Baseball Field
422,City Island,Harbor / Marina
423,City Island,Beach
424,City Island,Organization
425,City Island,Harbor / Marina
426,City Island,Harbor / Marina
427,Bedford Park,Baseball Field
428,Bedford Park,Chinese Restaurant
429,Bedford Park,Deli
430,Bedford Park,Coffee Shop
431,Bedford Park,Park
432,Bedford Park,Pizzeria
433,Bedford Park,Mexican Restaurant
434,Bedford Park,Restaurant
435,Bedford Park,Bagel Shop
436,Bedford Park,Laundry Service
437,Bedford Park,Diner
438,Bedford Park,Fast Food Restaurant
439,Bedford Park,Pub
440,Bedford Park,Pizzeria
441,Bedford Park,Dining and Drinking
442,Bedford Park,Burger Joint
443,Bedford Park,Discount Store
444,Bedford Park,Pizzeria
445,Bedford Park,Grocery Store / Supermarket
446,Bedford Park,Grocery Store / Supermarket
447,Bedford Park,Chinese Restaurant
448,Bedford Park,Deli
449,Bedford Park,Liquor Store
450,Bedford Park,Bank
451,Bedford Park,Cocktail Bar
452,Bedford Park,Farmers' Market
453,Bedford Park,Deli
454,Bedford Park,Barbershop
455,Bedford Park,Restaurant
456,Bedford Park,Laundry Service
457,Bedford Park,Garden
458,Bedford Park,Security and Safety
459,Bedford Park,Convenience Store
460,Bedford Park,Fried Chicken Joint
461,Bedford Park,Fast Food Restaurant
462,Bedford Park,Spanish Restaurant
463,Bedford Park,Deli
464,Bedford Park,Bar
465,Bedford Park,Laundromat
466,Bedford Park,Mexican Restaurant
467,Bedford Park,Sports Bar
468,Bedford Park,Mexican Restaurant
469,Bedford Park,Deli
470,Bedford Park,Hair Salon
471,Bedford Park,Botanical Garden
472,Bedford Park,Baseball Field
473,Bedford Park,Nail Salon
474,Bedford Park,Grocery Store / Supermarket
475,Bedford Park,Barbershop
476,Bedford Park,Automotive Repair Shop
477,University Heights,Grocery Store / Supermarket
478,University Heights,Grocery Store / Supermarket
479,University Heights,Bagel Shop
480,University Heights,African Restaurant
481,University Heights,Bank
482,University Heights,Pizzeria
483,University Heights,Latin American Restaurant
484,University Heights,Grocery Store / Supermarket
485,University Heights,Fast Food Restaurant
486,University Heights,Car Parts and Accessories
487,University Heights,Middle School
488,University Heights,Fast Food Restaurant
489,University Heights,Fast Food Restaurant
490,University Heights,Fast Food Restaurant
491,University Heights,Storage Facility
492,University Heights,Laundromat
493,University Heights,Fried Chicken Joint
494,University Heights,Nail Salon
495,University Heights,Fast Food Restaurant
496,University Heights,Sporting Goods Retail
497,University Heights,Deli
498,University Heights,Deli
499,University Heights,History Museum
500,University Heights,Mobile Phone Store
501,University Heights,Hair Salon
502,University Heights,Laundry Service
503,University Heights,Hair Salon
504,University Heights,Scenic Lookout
505,University Heights,Gourmet Store
506,University Heights,Burrito Restaurant
507,University Heights,Automotive Repair Shop
508,University Heights,General Contractor
509,University Heights,Laundry Service
510,University Heights,Park
511,University Heights,Park
512,University Heights,Playground
513,University Heights,Discount Store
514,Morris Heights,Laundry Service
515,Morris Heights,Latin American Restaurant
516,Morris Heights,Pizzeria
517,Morris Heights,Drugstore
518,Morris Heights,Fried Chicken Joint
519,Morris Heights,Grocery Store / Supermarket
520,Morris Heights,Health and Beauty Service
521,Morris Heights,Bank
522,Morris Heights,Plaza
523,Morris Heights,Historic and Protected Site
524,Morris Heights,Recreation Center
525,Morris Heights,Bagel Shop
526,Morris Heights,Ice Cream Parlor
527,Morris Heights,Car Parts and Accessories
528,Morris Heights,Fast Food Restaurant
529,Morris Heights,River
530,Morris Heights,Bar
531,Morris Heights,Sports Bar
532,Morris Heights,Playground
533,Fordham,Restaurant
534,Fordham,Bakery
535,Fordham,Shoe Store
536,Fordham,Concert Hall
537,Fordham,Dining and Drinking
538,Fordham,Sporting Goods Retail
539,Fordham,Clothing Store
540,Fordham,Clothing Store
541,Fordham,Fried Chicken Joint
542,Fordham,Diner
543,Fordham,Pizzeria
544,Fordham,Accounting and Bookkeeping Service
545,Fordham,Donut Shop
546,Fordham,Diner
547,Fordham,Bank
548,Fordham,Bank
549,Fordham,Mobile Phone Store
550,Fordham,Shoe Store
551,Fordham,Mobile Phone Store
552,Fordham,Music Venue
553,Fordham,Children's Clothing Store
554,Fordham,Fast Food Restaurant
555,Fordham,Supplement Store
556,Fordham,Health Food Store
557,Fordham,Miscellaneous Store
558,Fordham,Spanish Restaurant
559,Fordham,Liquor Store
560,Fordham,Video Games Store
561,Fordham,Bagel Shop
562,Fordham,Café
563,Fordham,Mobile Phone Store
564,Fordham,Bagel Shop
565,Fordham,Clothing Store
566,Fordham,Health Food Store
567,Fordham,Latin American Restaurant
568,Fordham,Grocery Store / Supermarket
569,Fordham,Mobile Phone Store
570,Fordham,Fast Food Restaurant
571,Fordham,Bakery
572,Fordham,Diner
573,Fordham,Monument
574,Fordham,African Restaurant
575,Fordham,Plaza
576,Fordham,Plaza
577,Fordham,Mobile Phone Store
578,Fordham,Pizzeria
579,Fordham,Bagel Shop
580,Fordham,Department Store
581,Fordham,Latin American Restaurant
582,Fordham,Fast Food Restaurant
583,East Tremont,Café
584,East Tremont,Fast Food Restaurant
585,East Tremont,Caribbean Restaurant
586,East Tremont,Bagel Shop
587,East Tremont,Night Club
588,East Tremont,Sporting Goods Retail
589,East Tremont,Playground
590,East Tremont,Deli
591,East Tremont,Pizzeria
592,East Tremont,Bank
593,East Tremont,Diner
594,East Tremont,Liquor Store
595,East Tremont,Mobile Phone Store
596,East Tremont,Discount Store
597,East Tremont,Latin American Restaurant
598,East Tremont,Pizzeria
599,East Tremont,Department Store
600,East Tremont,Other Great Outdoors
601,East Tremont,Bank
602,East Tremont,Pizzeria
603,East Tremont,Fish and Chips Shop
