neighborhood,borough,venue,venue_name
Wakefield,Bronx,Ice Cream Parlor,Lollipops Gelato
Wakefield,Bronx,Drugstore,Walgreens
Wakefield,Bronx,Ice Cream Parlor,Carvel
Wakefield,Bronx,Bagel Shop,Dunkin'
Wakefield,Bronx,Fast Food Restaurant,Subway
Wakefield,Bronx,American Restaurant,Cooler Runnings Jamaican Restaurant
Wakefield,Bronx,Bakery,Jackie's West Indian Bakery
Wakefield,Bronx,Caribbean Restaurant,Ripe Kitchen and Bar
Wakefield,Bronx,Indian Restaurant,Ali's Roti Shop
Wakefield,Bronx,Drugstore,Rite Aid
Wakefield,Bronx,Tobacco Store,Mos Cigar
Wakefield,Bronx,BBQ Joint,Paula's Soul Cafe
Wakefield,Bronx,Burger Joint,Jimbo's Hamburger Palace
Wakefield,Bronx,Grocery Store / Supermarket,Fine Fare Supermarkets
Wakefield,Bronx,Fast Food Restaurant,Popeyes Louisiana Kitchen
Wakefield,Bronx,Bagel Shop,Dunkin'
Wakefield,Bronx,Fast Food Restaurant,Popeyes Louisiana Kitchen
Wakefield,Bronx,Pizzeria,Domino's Pizza
Wakefield,Bronx,Mobile Phone Store,T-Mobile
Wakefield,Bronx,Bakery,E & L Bakery
Wakefield,Bronx,Bank,Chase Bank
Wakefield,Bronx,Grocery Store / Supermarket,Foodtown
Wakefield,Bronx,Food and Beverage Retail,Big Market
Wakefield,Bronx,Hair Salon,Genesis Beauty Supply
Wakefield,Bronx,Discount Store,Dollar Tree
Wakefield,Bronx,Deli,M & Y Gourmet Deli
Wakefield,Bronx,Bakery,Paul's Caribbean Bakery
Wakefield,Bronx,Grocery Store / Supermarket,Associated
Wakefield,Bronx,Barbershop,New Dimension Barber Shop
Wakefield,Bronx,Bagel Shop,Dunkin'
Wakefield,Bronx,Fast Food Restaurant,McDonald's
Wakefield,Bronx,Convenience Store,D And A Family Deli
Wakefield,Bronx,Cocktail Bar,Kristal Bar & Lounge
Wakefield,Bronx,Night Club,Inn At The Border
Wakefield,Bronx,Automotive Retail,Caribbean Auto
Wakefield,Bronx,Hair Salon,Touch of Beauty
Wakefield,Bronx,Drugstore,Rite Aid
